Name,Location,Date,Target,Type,Perpetrators,Combatant1,Combatant2,Combatant3,Combatant4,Commander1,Commander2,Commander3,Commander4,Part of
Sistan and Baluchestan insurgency,"Sistan and Baluchestan Province, Iran",2004 - Present,-,-,-,,"(2013–Present),Harakat_Ansar_Iran.jpg,(2004–11),Jundallah,Ansar Al-Furqan,Jaish ul-Adl,(2012–13),flagicon image,Harakat Ansar",-,-,"Seyyed Mehdi Hashemi,(2016–),Nasser Mohammadifar,Abdolreza Rahmani Fazli,(2008–09),(12 August 2008–4 November 2008),(2017–),Yahya Rahim Safavi,(2004–05),(2005–2013),(2004–2005),(2017–2021),(2005–17),Ahmad Vahidi,(4 November 2008–24 December 2008),(2005–06),Mohammad Reza Zahedi,Mohammad-Hossein Dadras,Hossein Ashtari,(2013–),Mohammad Bagheri,(2004–07),Kamran Daneshjoo,(2019–),(24 December 2008–2009),Ahmad Reza Pourdastan,Hossein Salami,KIA,(2005–19 May 2008),(2009–),Abdolrahim Mousavi,Mostafa Mohammad-Najjar,(2004–09),Mohammad Salimi,Kioumars Heydari,(2004–16),Ali Khamenei,Hossein Dehghan,Iran,Amir Hatami,Mohammad-Reza Gharaei Ashtiani,Ali Kordan,Abdolvahed Mousavi Lari,(2005–08),Ahmad Kazemi,Nur-Ali Shushtari,Ali Shamkhani  *  Mostafa Mohammad-Najjar  *  Ahmad Vahidi  *  Hossein Dehghan  *  Amir Hatami  *  Mohammad-Reza Gharaei Ashtiani  *  Abdolvahed Mousavi Lari  *  Mostafa Pourmohammadi  *  Seyyed Mehdi Hashemi  *  Ali Kordan  *  Kamran Daneshjoo  *  Sadegh Mahsouli  *  Hassan Firouzabadi  *  Abdolreza Rahmani Fazli  *  Hassan Firouzabadi  *  Mohammad Bagheri  *  Mohammad Salimi  *  Ataollah Salehi  *  Abdolrahim Mousavi  *  Nasser Mohammadifar  *  Mohammad-Hossein Dadras  *  Ahmad Reza Pourdastan  *  Kioumars Heydari  *  Yahya Rahim Safavi  *  Mohammad Ali Jafari  *  Hossein Salami  *  Ahmad Kazemi  *  Mohammad Reza Zahedi  *  Mohammad Jafar Asadi  *  Mohammad Pakpour  *  Nur-Ali Shushtari   *  Esmail Ahmadi Moghaddam  *  Hossein Ashtari,Esmail Ahmadi Moghaddam,Ali Shamkhani,Hassan Firouzabadi,(2013–2017),(2021–),(15 May 2008–5 August 2008),(2008–16),Mohammad Pakpour,(2006–08),(2004–19),Sadegh Mahsouli,(2004–2016),Ataollah Salehi,Mohammad Ali Jafari,Mohammad Jafar Asadi,Mostafa Pourmohammadi","Abu Hafs al Baloochi,(2004–09),executed,Muhammad Dhahir Baluch,(2010–present),(2009–10),Mohammad Shafi,(2013–15),Abdolhamid Rigi,Jalil Qanbarzehi,(2011–present),Abdolmalek Rigi,(2012–13),(2015–17),KIA,Salahuddin Farooqui",-,-,Balochistan conflict
South Lebanon conflict,Southern Lebanon,16 February 1985 – 25 May 2000,-,-,-,border]] South Lebanon Army,"border]] Jammoul,border]] PFLP-GC,border]] Amal Movement,border]] Hezbollah",-,-,"border]] Ehud Barak,border]] Ariel Sharon,border]] Shimon Peres,border]] Antoine Lahad,border]] Erez Gerstein,border]] Aql Hashem","border]] Ahmed Jibril,Elias Atallah,border]] Abbas al-Musawi,George Hawi,border]] Nabih Berri,border]] Hassan Nasrallah",-,-,"the Israeli–Lebanese conflict, Hezbollah–Israel conflict, and the Iran–Israel proxy conflict"
South Yemeni Civil War,South Yemen,"13 – 24 January 1986,(  )",-,-,-,"Abdul Fattah Ismails faction, al-Toghmah","Ali Nasir Muhammads faction, al-Zomrah",-,-,"Ali Antar,Haidar Abu Bakr al-Attas,Dhale and Lahij,Abdul Fattah Ismail,Saleh Muslih Qassem,Ali Salem al Beidh","Ali Nasir Muhammad,Shabwah and Abyan",-,-,the Arab Cold War
South Yemen insurgency,Southern Yemen,"(  ),27 April 2009 – 16 September 2014",-,-,-,"Yemen Paramilitary 
Pro-government tribes *  Al-Islah militias
Supported by:,*  Yemeni Republican Guard,Government,Yemen Army,Yemeni Air Force","Southern Resistance *Security Belt
Supported by:,Southern Transitional Council (since 2017),Southern Movement",-,-,"Abdrabbuh Mansur Hadi,(since 2016),Ali Mohsen al-Ahmar,Muhammad Nasir Ahmad Ali,Mohammed Basindawa,Ahmed Obeid bin Daghr,(2011–2014),(2014–2016),Abdullah al-Thuraya,(2000–2012),Ali Abdullah Saleh,Ahmed Saleh,(since 2011),Khaled Bahah,(until 2012)","Tahir Tamah,Fawaz Baoum* (POW),Hassan Baoum* (POW),Aidarus al-Zoubaidi,Tareq al-Fadhli,Ahmed Bamualem (POW),Abbas Tanba,Ali Saleh al-Yafee,Ali Saif Mohammed,Yasin Said Numan,Ali al-Saadi (POW),Ali Salim al-Beidh,Mohsin al Twairah",-,-,the Yemeni Crisis
Tripartite aggressionSuez Crisis,Gaza Strip and Egypt (Sinai and Suez Canal zone),"(Sinai under Israeli occupation until March 1957),(  )",-,-,-,Israel  United Kingdom  France,Egypt,-,-,David Ben-Gurion  Moshe Dayan  Asaf Simhoni  Haim Bar-Lev  Avraham Yoffe  Israel Tal  Ariel Sharon  Uri Ben-Ari  Anthony Eden  Gerald Templer  Charles Keightley  Hugh Stockwell  Manley Power  René Coty  Guy Mollet  Pierre Barjot  André Beaufre  Jacques Massu,Gamal Abdel Nasser  Abdel Hakim Amer   Saadedden Mutawally  Sami Yassa  Jaafar al-Abd  Salahedin Moguy  Raouf Mahfouz Zaki,-,-,the Cold War and the Arab–Israeli conflict
Syrian civil war spillover in Lebanon,"Lebanon (Akkar, Arsal, Beirut, Sidon, and Tripoli)","(  ),17 June 2011 – 28 August 2017",-,-,-,"1,Support:,2,Iran,Syria,Russia,Pro-Syrian government militias:,3,Lebanese Communist Party *  Fatah","1,Support:,Jund al-Sham * Abdullah Azzam Brigades * Osbat al-Ansar * Sunni Resistance Committees * Muslim Youth,Tahrir al-Sham  **  Al-Nusra Front  *  Fatah al-Islam * Ghuraba al-Sham (until 2013),Saudi Arabia,Anti-Syrian government militias:","Free Sunnis of Baalbek Brigade,Military of ISIL,(from 2013)","4,Italy,United States,Turkey,15,France,13,16,United Kingdom,Jordan,6,Egypt,Netherlands,12,17,Saudi Arabia,Russia,Cyprus,9,3,1,Australia,5,Czech Republic,18,7,2,Iran,Lebanese Army,10,Spain,11,Support:,19,14,Germany,China,Canada,8,South Korea","Hassan al-Laqqis  *  Assaad Hardan,Fathi Zeidan  *  Talal al-Ourdouni,Hassan Nasrallah,Rifaat Eid  *  Fuad Othman,Assaad Hardan,Hassan al-Laqqis,Khaled Hadadi,Osama Saad,Rifaat Eid,(ADP),InfoboxHez.PNG,Fathi Zeidan,Talal al-Ourdouni,KIA,flagicon image,Fuad Othman","Abu Tarek al-Saadi,POW,Flag of Jabhat al-Nusra.jpg,Ahmed Al-Assir,Islam al-Shahal,Ziad Alloukeh,Abu Firas al-Jibba,Abu Malek al-Tali,Naim Abbas,(Al-Nusra Front operations commander in the Qalamoun),Bilal Badr,Jamal Husayn Zayniyah,Majed al-Majed,KIA,flagicon image,Bilal Badr *  Majed al-Majed  *  Ziad Alloukeh  *  Naim Abbas  *  Abu Firas al-Jibba  *  Jamal Husayn Zayniyah,surrendered","POW,Ahmad Mohammad Ammoun,flagdeco,Abu Fouz,ISIL,Imad Yassin,KIA,Ahmad Youssef Ammoun","Roger Salem (2011–present),Ashraf Rifi (2014–2016),Saad Hariri (2016–present),Najib Mikati (2011–2014),Jean Kahwaji (2011–2017),Michel Suleiman (2011–2014),flagdeco,Joseph Aoun (2017–present),Lebanon,Michel Aoun (2016–present),Tammam Salam (2014–2016)","the Arab Winter, the Spillover of the Syrian Civil War and the Iran–Saudi Arabia proxy conflict"
Syria–Lebanon campaign,Syria and Lebanon,"8 June – 14 July 1941,(  )",-,-,-,"Czechoslovakia,*  Transjordan,*  *  Assyrian Levies",*  Syria,-,-,"Henry Wilson,Paul Legentilhomme,John Lavarack,Archibald Wavell",Henri Dentz,-,-,the Mediterranean and Middle East theatre of the Second World War
Terrorism in Egypt (2013–present),Egypt,"3 July 2013 – present,(  )",-,-,-,"Central Security Forces,Egyptian National Police,Armed Forces,*  Egyptian Army","border]] Ansar Bait al-Maqdis,Ansar al-Sharia,Islamists,Al-Qaeda in Sinai Peninsula,Al-Mourabitoun ----,Arms of Egypt Movement  *  * Ajnad Misr  Muslim Brotherhood of Egypt &nbsp; * Popular Resistance Movement * Al-Furqan Brigades",-,-,"(2015–18),Sedki Sobhy,Magdy Abdel Ghaffar,Abdul Fattah al-Sisi,Mohd. Ibrahim Moustafa,(2013–16),Egypt,Mahmoud Tawfik,Mohd. Ahmed Zaki,&nbsp;,(2014–pr.),(2014–18),(2018–pr.),smaller,(2016–17),(2013–15),Adly Mansour,nobr,Ahmed el-Mansy",Hesham Ashmawy,-,-,"the Egyptian Crisis aftermath, the Arab Winter, and Terrorism in Egypt"
Turkish War of Independence,"Anatolia, Transcaucasia, Upper Mesopotamia, and East Thrace","(  ),24 July 1923 (Peace),19 May 1919 – 11 October 1922 (Armistice)",-,-,-,"After 1920:,1918,Ukrainian SSR,[https://web.archive.org/web/20141221125926/http://www.camilhasanli.com/files/P46P3OLay7vK.pdf Внешняя политика Азербайджана в годы cоветской власти],Kuva-yi Seyyare,Supported by:,Russian SFSR,[https://web.archive.org/web/20141224073430/http://www.turksolu.com.tr/kitap/17.htm Atatürk, Nerimanov ve Kurtuluş Savaşımız],y,Kingdom of Italy,Before 1920:,Ankara Government,flagicon image,border,flagcountry,[http://litopys.org.ua/ukrxx/zmist.htm Українська державність у XX столітті: Історико-політологічний аналіз / Ред. кол.: О. Дергачов (кер. авт. кол.), Є. Бистрицький, О. Білий, І. Бураковський, Дж. Мейс, В. Полохало, М. Томенко та ін.&nbsp;— К.: Політ. думка, 1996.&nbsp;— 434 с.],Ref label,Bukharan PSR,[http://dergiler.ankara.edu.tr/dergiler/44/671/8544.pdf The Place of the Turkish Independence War in the American Press (1918-1923) by Bülent Bilmez]: ""...the occupation of western Turkey by the Greek armies under the control of the Allied Powers, the discord among them was evident and publicly known. As the Italians were against this occupation from the beginning, and started ""secretly"" helping the Kemalists, this conflict among the Allied Powers, and the Italian support for the Kemalists were reported regularly by the American press.,bbb,b,bullets,Kuva-yi Nizamiye,Kuva-yi Milliye  Turkish National Movement","Tunisia,d,British Raj,French West Africa,y,1959,French Third Republic,ccc,Armenian Legion,flagcountry,Ref label,Georgia  ----,UKGBI,c,ddd,Morocco,Algeria,flagdeco,bullets,nobold,First Republic of Armenia",-,-,"Ali Fuat Pasha,Musa Kâzım Pasha,Mustafa İsmet Pasha,Mustafa Kemal Pasha  Mustafa Fevzi Pasha","Anastasios Papoulas,Süleyman Şefik Pasha,Sir George Milne,Henri Gouraud,Leonidas Paraskevopoulos  Kimon Digenis,Movses Silikyan,Nikolaos Trikoupis,Drastamat Kanayan,Georgios Hatzianestis",-,-,"in the aftermath of World War I,the Revolutions of 1917–1923"
Turkish invasion of Cyprus,Cyprus,"20 July – 18 August 1974,(  )",-,-,-,Turkish Resistance Organisation,"EOKA B,Republic of Cyprus",-,-,"Bülent Ecevit,Rauf Denktaş,Fahri Korutürk,Necmettin Erbakan","Phaedon Gizikis,Nikos Sampson,Dimitrios Ioannidis,border]] Glafcos Clerides",-,-,the Cyprus dispute
Turkish involvement in the Syrian civil war,Syria,"(  ),– present",-,-,-,"Libya,United States,Supported by:,Qatar,*Free Syrian Army,Saudi Arabia,NATO,United Kingdom","MLKP,Army of Revolutionaries * Various military councils  IFB,</small>,Egypt,YPG,YPJ,Syrian Democratic Forces,United States,Supported by:,France,United Arab Emirates,Saudi Arabia,Russia,TKP/ML TİKKO","Hayat Tahrir al-Sham (limited),Islamic State of Iraq and the Levant","Supported by:,Iran,United Arab Emirates,Russia,Syrian Arab Republic","Zekai Aksakallı,Abdurrahman Mustafa,Hulusi Akar,Ebubekir Seyf,Hakan Fidan,Fehim Isa,(2016–2018),Ahmed Othman,Recep Tayyip Erdoğan,(2016–2017),Albay Ahmed Berri,İsmail Metin Temel,Salim Idris,Yaşar Güler","Hediya Yousef,Mansur Selum",-,"Bashar al-Assad,Ali Abdullah Ayyoub,Maher al-Assad",foreign involvement in the Syrian civil war
Turkish–Armenian war,Transcaucasia,24 September – 2 December 1920,-,-,-,Ankara Government,First Republic of Armenia,-,-,"Rüştü Pasha,Kâzım Karabekir,Kâzım Orbay,Osman Nuri Koptagel,Cavit Erdel,Halit Karsıalan","Drastamat Kanayan,Christophor Araratov,Ruben Ter-Minasian,Hamo Ohanjanyan",-,-,"the Turkish War of Independence, the Aftermath of World War I, and Armenian–Turkish Conflict"
Unification of the Saudi-ruled Arabia,"Arabian Peninsula (including South Arabia), Mandatory Iraq, Transjordan and Kuwait",1902–1934,-,-,-,"British Empire,border","Ikhwan
Supported by:,British Empire (from 1927),border,Italy","Supported by:,border,Germany","Supported by:,Italy",border,border,"border,Fakhri Pasha",,-
War of Attrition,Sinai Peninsula (Israeli controlled),"(  ),July 1, 1967 – August 7, 1970 (ceasefire)",-,-,-,,"Expeditionary forces:,----,----  PLO",-,-,"Yigal Allon,Levi Eshkol,Mordechai Hod,Uzi Narkiss,Ariel Sharon,Zalman Shazar,Haim Bar-Lev","Andrei Grechko,Abdul Munim Riad,Saad El Shazly,Ahmad Ismail Ali,Amer Khammash,Anwar El Sadat,Gamal Abdel Nasser,King Hussein,Abu Iyad,Zaid ibn Shaker,Yasser Arafat",-,-,the Arab–Israeli conflict and the Cold War
War of Brothersحرب الأخوة,"South Lebanon, Beirut and Beqaa",April 1988–November 1990,-,-,-,"Supported by,Amal Movement","Supported by,Hezbollah",-,-,-,-,-,-,-
War of the Camps,Beirut and Southern Lebanon,19 May 1985 – July 1988,-,-,-,"PDK-L,Fatah Movement,DFLP,Jabhat Tahrir (Liberation Front)  Al-Mourabitoun,Supported by:,Iran,Communist Action Organization in Lebanon,Harakt Tawahid al-Islami,Progressive Socialist Party (since 1987),Sixth of February Movement,Lebanese Communist Party (since 1987),Iraq,SSNP (Anti-Assad faction),PLO","Libya,8th Infantry Brigade,border]] Amal Movement,6th Infantry Brigade,PLA,Supported by:,PNSF,Fatah al-Intifada,SSNP (Pro-Assad faction),Lebanese Communist Party (until 1987),As-Saiqa,Progressive Socialist Party (until 1987),*  Syrian Armed Forces,Lebanese Armed Forces,Al Jabha Shaabiya (Popular Front)",-,-,"Ibrahim Kulaylat,Nayef Hawatmeh,Abu Abbas (Muhammad Zaidan),Walid Jumblatt (1987-1988),Inaam Raad,George Hawi (1987-1988),Muhsin Ibrahim,Yasser Arafat,Abbas al-Musawi","Hafez al-Assad,General Michel Aoun,George Hawi(1985-1987),George Habash,Abu Musa (Col. Said Muragha)   Abu Khalid al-Amleh,Ghazi Kanaan,Walid Jumblatt (1985-1987),Pres. Amine Gemayel,Mustafa Tlass",-,-,the Lebanese Civil War
The War over Water,Jordan Valley River Basin and the Golan Heights,November 1964 – May 1967,-,-,-,,,-,-,"Zalman Shazar,Levi Eshkol,Yitzhak Rabin","Charles Helou,Nureddin al-Atassi,Hussein,Amin al-Hafiz",-,-,the Arab-Israeli conflict
World War I,"Europe, Africa, the Middle East, the Pacific Islands, China, Indian Ocean, North and South Atlantic Ocean","4,Treaty of Saint-Germain-en-Laye,The United States did not ratify any of the treaties agreed to at the Paris Peace Conference.,Bulgaria joined the Central Powers on 14 October 1915.,April 1917.,day2,1921,Signed 10 August 1920,nbsp,6,Age in years, months, weeks and days,Treaty of Lausanne,Although the Treaty of Sèvres was intended to end the war between the Allied Powers and the Ottoman Empire, the Allied Powers and the Republic of Turkey, the successor state of the Ottoman Empire, agreed to the Treaty of Lausanne.,The Ottoman Empire agreed to a secret alliance with Germany on 2 August 1914. It joined the war on the side of the Central Powers on 29 October 1914.,month1,efn,The United States declared war on Austria-Hungary on 7,25,The United States declared war on Germany on 6,Signed 24 August 1921,12,year1,Signed 4 June 1920,Signed 28 June 1919,month2,9,yes,27,United States–Germany Peace Treaty,24,7,Treaty of Sèvres,United States–Hungary Peace Treaty,1920,December 1917.,1914,year2,29,10,28,day1,Treaty of Versailles,),<!--Since World War I didnt actually end for most states until the Paris Peace Conference treaties were signed...-->,1915,11,United States–Austria Peace Treaty,Hungary was considered one of the successor states to Austria-Hungary.,(,Treaty of Trianon,1923,14,Signed 29 August 1921,Signed 24 July 1923,Austria was considered one of the successor states to Austria-Hungary.,bullets,1919,1917,Signed 27 November 1919,Signed 25 August 1921,Signed 10 September 1919,Treaty of Neuilly-sur-Seine,8,Peace treaties",-,-,-,"British Empire,(from 1917),United States,Kingdom of Montenegro,Kingdom of Hejaz,state,...,British Raj,Union of South Africa,Newfoundland,Allied Powers:,Efn,Empire of Japan,[[Allies of World War I,nbsp,Russian Empire,(from 1916),Kingdom of Italy,*   *   *   *   *  Siam  *  China  * ...  and others,Dominion of New Zealand,1861,1912,First Portuguese Republic,Russia,British Ceylon,New Zealand,yes,Thailand,flagcountry,Australia,Kingdom of Belgium,1905,Kingdom of Romania,1914,(until 1917),United Kingdom of Great Britain and Ireland,Republic of China (1912–1949),Russian Republic during 1917. The Bolshevik government signed the separate peace with the Central Powers shortly after their armed seizure of power of November that year.,*  *  *  *  *   *,Siam,Viceroy,bullets,flagdeco,China,nobold,Canada,Kingdom of Serbia,1917,(from 1915),1831,Kingdom of Greece","flagcountry,Kingdom of Bulgaria,German Empire,...,Ottoman Empire,Austria-Hungary,(from 1915),[[Central Powers,nbsp",-,-,"[[Allied leaders of World War I,David Lloyd George,United States,George V,and others,Georges Clemenceau,Empire of Japan,Albert I,Belgium,United Kingdom,Woodrow Wilson,Abdicated in March 1917, executed in July 1918.,nbsp,H. H. Asquith,Peter I,Nicholas II,Kingdom of Italy,efn,Russian Republic,Nicholas II   *  Georgy Lvov,French Third Republic,1912,Vittorio Orlando,Russia,Ferdinand I,KIA,and others  ...,Victor Emmanuel III,Georgy Lvov,1914,Kingdom of Romania,Emperor Taishō,United Kingdom of Great Britain and Ireland,Raymond Poincaré,flagdeco,Alexander Kerensky,Kingdom of Serbia,*  Georges Clemenceau  George V","German Empire,Franz Joseph I,and others,Died in 1916 of pneumonia, succeeded by Charles (Karl) I of Austria,nbsp,[[Leaders of the Central Powers of World War I,efn,Franz Joseph I  *  Karl I,Died in July 1918 and succeeded by Mehmed VI,Ferdinand I,and others  ...,Three Pashas,Kingdom of Bulgaria,Wilhelm II,Karl I,Mehmed V  *  Mehmed VI,Mehmed V,Ottoman Empire,Austria-Hungary,Mehmed VI",-,-,-
World War&nbsp;II,"Europe, Pacific, Atlantic, Indian Ocean, South-East Asia, China, Japan, Middle East, Mediterranean, North Africa, Horn of Africa, Central Africa, Australia, briefly North and South America","Age in years and days,1,1 September 1939,(,start and end dates,While various other dates have been proposed as the date on which World War II began or ended, this is the time span most frequently cited.,df,2,efn,2 September 1945,and,sep,1939,9,1945,yes",-,-,-,Allies,Axis,-,-,"1936,size,Chiang Kai-shek,United States,Winston Churchill,1912,Joseph Stalin,Soviet Union,Franklin D. Roosevelt,Republic of China (1912–1949),United Kingdom","size,Benito Mussolini,Fascist Italy (1922–1943),Empire of Japan,Adolf Hitler,Hirohito,Nazi Germany",-,-,-
Yemeni Civil War,"Yemen, southern Saudi Arabia (spillovers)","),16 September 2014 – present",-,-,-,"*  Pro-Saleh forces (until 2017),1,5,2,Syrian mercenaries,Iran,Hezbollah   Syrian mercenaries,flagdeco,Hezbollah,Syria,flagicon image,Alleged support:,InfoboxHez.PNG,North Korea,Supreme Political Council,3","4,Bahrain,Italy,United States,Somalia,(2015–16),Turkey,France,Saudi-led coalition,United Kingdom,Jordan,Under 1,000 troops:,6,Egypt,size,border]] Southern Movement     Peoples Mujahedin of Iran * Southern Transitional Council (from 2017),United Arab Emirates,Malaysia,Saudi Arabia,flagicon image,NATO,9,3,Pakistan,Yemen National Army (YNA),1,5,Peoples Mujahedin of Iran,7,2,[http://gulfnews.com/news/gulf/yemen/morocco-sends-ground-troops-to-fight-in-yemen-1.1631786 ""Morocco sends ground troops to fight in Yemen""]. Gulf News.,Qatar,Al-Islah,(since 2021),Academi security contractors,Eritrea,*  Cabinet of Yemen  Pro-Hadi Security forces,(2015–17),10,Spain,11,Support:,Popular Resistance Committees * Popular Committees,Senegal,Morocco,Mauritania,Kuwait,Sudan,(2015–19),Alleged support:","1,date,border]] Al-Qaeda,IS-YP,size,Ansar al-Sharia,2,United Arab Emirates,Saudi Arabia,Alleged support:",-,"4,Ahmad Al-Khatib,Ali Aldhifeef,Ali Al-Jaifi,15,Hassan al-Sharafi,Abdulkhalik al-Houthi,Abdul-Malik Al-Arar,Abdul Razzaq Al-Marwani,Hashim al-Barawi,13,Hussain al-Mutawakel,Abu Jabar al-Houthi,16,Ahmed Al-Harbi,Mohamed al-Atifi (2016–),Saleh al-Sammad,POW,6,YEM,Hussein Khairan (2015–16),12,17,KIA,9,flagicon image,3,1,5,18,Yemen,2,7,Ali Raymi,10,Abdul-Qader Hilal,Abdul-Malik al-Houthi,11,Hasan Almalsi,19,14,flagdeco,Casualties:,Yahya Al-Emad,Mansoor Namran,Ibrahim al-Houthi,Mohammed bin Hilal,Mohammed al-Houthi (2015–)  Mahdi al-Mashat (2018–),8","4,Macky Sall,15,13,Col. Hassan Ageeli,Under 1,000 troops:,POW,YEM,17,Gen. Abd Rabbo Hussein,Maj. Gen. Abdul-Rab al-Shadadi,Gen. Mohamed al-Thaifani,flagicon image,Col. Mohammed al-Kitbi,5,Tamim bin Hamad (2015–17),Lt. Gen. Muhammad Al Shaalan,Yemen,2,11,19,Maj. Gen. Abdulrahman al-Shahrani,8,16,6,Brig. Gen. Hameed Al-Qushaibi,12,KIA,9,Capt. Zafir Al-Turki,1,December 2020,WIA,Brig. Gen. Bandar bin Mazid,Salman bin Abdulaziz,Abdrabbuh Mansur Hadi,20,flagdeco,date,Col. Abdullah al-Sahian,Ahmed Saleh (2017–),UAE,BHR,Tareq Saleh (2017–),Egypt,Abdel Fattah el-Sisi,Gen. Ahmad Al-Yafei,3,Abdullah II,7,Cmdr. Jarallah Salhi,Mohammed Al-Maqdashi (2018–),Ali Abdullah Saleh,10,Khalifa bin Zayed,Abdel Fattah Burhan,14,Mahmoud al-Subaihi,Saudi-led coalition:,Muhammad bin Salman,Lt. Col. Abdullah al-Balwi,Bahrain,Ali al-Ahmar (2016–),Khalid Al Khalifa,citation needed,Jordan,Brig. Gen. Ibrahim Hamzi,Hussein Arab (until 2017),Maj. Gen. Jaafar Saad,Brig. Gen. Munir Al Yafi,18,Gen. Khalid al-Jomaei,KSA,Mohammed bin Zayed,Casualties:,Khaled Bahah (2015–16),Mohamed VI (2015–19)","KIA,Qasim al-Raymi,Nasir al-Wuhayshi,Khalid Batarfi,Casualties:,Nasser al-Ansi,Ibrahim al Qosi,flagicon image,Ibrahim al-Rubaish",-,"the Yemeni Crisis, Arab Winter, War on terror, and the Iran–Saudi Arabia proxy conflict"
Second Yemenite War,North Yemen-South Yemen border,"24 February – 19 March 1979,(  )",-,-,-,"Taiwan,Egypt,United States,Supported by:,Flag,Flagicon image,Saudi Arabia,United Kingdom,Jordan,1972","Cuba,Libya,East Germany,Supported by:,1948,Flag,North Korea,Soviet Union,Flagicon image",-,-,Ali Abdullah Saleh,Abdul Fattah Ismail,-,-,"the Cold War, the Sino-Soviet split, and the Arab Cold War"
